artist,title,album,url,isDownloaded
The Goo Goo Dolls,Iris,Dizzy Up The Girl,https://music.youtube.com/watch?v=Dy_eP-mqWowlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Avril Lavigne,Complicated,Let Go,https://music.youtube.com/watch?v=DTtb9rt1tnklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
G-Eazy,All The Things You're Searching For (feat. Kossisko & Ashley Benson),Everything's Strange Here,https://music.youtube.com/watch?v=BpPnPRq2v3Ulist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
ONE OK ROCK,I Was King,I Was King,https://music.youtube.com/watch?v=PfSOZg45ybklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Escape the Fate,Not Good Enough For Truth In Cliche',Dying Is Your Latest Fashion,https://music.youtube.com/watch?v=lRyYdwsU19klist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
As It Is,Turn Back To Me,"Never Happy, Ever After",https://music.youtube.com/watch?v=oSkBWOvgMkAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Shiina Kurisu,Face Down With Lyrics,,https://music.youtube.com/watch?v=W8wvyPDZo_wlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Shiina Kurisu,Face Down With Lyrics,,https://music.youtube.com/watch?v=W8wvyPDZo_wlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
The Red Jumpsuit Apparatus,False Pretense - Alliance Edition,,https://music.youtube.com/watch?v=MiCZdvQXULElist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
You Me At Six,Bite My Tongue (feat. Oli Sykes),Sinners Never Sleep,https://music.youtube.com/watch?v=FNEY_orwrPElist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Asking Alexandria,The Black,The Black,https://music.youtube.com/watch?v=_zuDvQPM4Uglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Today I Saw The Whole World,Misadventures,https://music.youtube.com/watch?v=EBamTJPoOdglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Bring Me The Horizon,Shadow Moses,Shadow Moses,https://music.youtube.com/watch?v=lXj4r1gymLglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Tangled In The Great Escape (feat. Jason Butler),Collide with the Sky,https://music.youtube.com/watch?v=dVaSjCRz5_4list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Bring Me The Horizon,Teardrops,POST HUMAN: SURVIVAL HORROR,https://music.youtube.com/watch?v=iKhHd9ySXEwlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Disasterology,Selfish Machines,https://music.youtube.com/watch?v=j3Mc5ILV3FMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Bring Me The Horizon,Drown,That's The Spirit,https://music.youtube.com/watch?v=ymo9oX83kJIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Bring Me The Horizon,Follow You,That's The Spirit,https://music.youtube.com/watch?v=RqQKhSzThyclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Bring Me The Horizon,Throne,That's The Spirit,https://music.youtube.com/watch?v=aJjvKCtivaklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
All Time Low,Old Scars / Future Hearts,Future Hearts,https://music.youtube.com/watch?v=LELbNd_HMv8list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
All Time Low,Canals,Don't Panic: It's Longer Now!,https://music.youtube.com/watch?v=9In3YXTvUYclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
The Red Jumpsuit Apparatus,Face Down,Don't You Fake It,https://music.youtube.com/watch?v=eEpbE2UJXcUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
State Champs,Secrets,Around the World and Back,https://music.youtube.com/watch?v=X5348FxrIvIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Panic! At The Disco,Girls / Girls / Boys,"Too Weird To Live, Too Rare To Die!",https://music.youtube.com/watch?v=ij5Y2hzopKAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
A Day To Remember,Since U Been Gone,For Those Who Have Heart,https://music.youtube.com/watch?v=3m3sVkunHvAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Story Of The Year,Until the Day I Die,Page Avenue (US Non-PA Version),https://music.youtube.com/watch?v=EnNAJ6QAfBglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
All Time Low,Something's Gotta Give,Future Hearts,https://music.youtube.com/watch?v=dtrb0aav0o4list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Props & Mayhem,Collide with the Sky,https://music.youtube.com/watch?v=7XmjdUkRyTUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,The First Punch,Collide with the Sky,https://music.youtube.com/watch?v=OTQZCdScu0Qlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Flyleaf,All Around Me,Flyleaf,https://music.youtube.com/watch?v=c4Z2rVY8i6Ylist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
iann dior,Sick and Tired (feat. Machine Gun Kelly & Travis Barker),Sick and Tired,https://music.youtube.com/watch?v=patfta-HSc0list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Ansel Elgort,Supernova,Supernova,https://music.youtube.com/watch?v=P4WNY_XAOBQlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Post Malone,Goodbyes (feat. Young Thug),Hollywood's Bleeding,https://music.youtube.com/watch?v=YgKDE5eYNqclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Lil Peep,Sunlight On Your Skin (Bonus Track),"Come Over When You're Sober, Pt. 2",https://music.youtube.com/watch?v=eQpZiaPVnZslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Machine Gun Kelly,why are you here,why are you here,https://music.youtube.com/watch?v=glYPHS3wmK4list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Red Handed Denial,L'esprit De L'escalier,Stories of Old,https://music.youtube.com/watch?v=D1esczEWUSwlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Too Close To Touch,Pretty Little Thing,Nerve Endings,https://music.youtube.com/watch?v=UTirMr-s-VYlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Fast Times at Clairemont High,Selfish Machines,https://music.youtube.com/watch?v=v6MsB13k_bklist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Tonight Alive,Complexes,The Other Side,https://music.youtube.com/watch?v=rwzhWMTEC4Elist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Disasterology,Selfish Machines,https://music.youtube.com/watch?v=Oe7KNXGdKIAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
